order_id,dataset_id,nama_dataset,periode,tanggal_pesanan,tanggal_diisi_dari_median,status_pesanan,alasan_pembatalan,kategori_produk,jumlah_kategori_produk,jumlah_barang,berat_total_gram,jumlah_return,diskon_total,metode_pembayaran,opsi_pengiriman,kota_kabupaten,provinsi,ongkir_dibayar_pembeli,potongan_ongkir,total_pembayaran,perkiraan_ongkir,tahun,bulan,tahun_bulan,kategori_umum,outlier_total_pembayaran,total_pembayaran_capped
ORD_0006556,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 00:05:00,False,Selesai,,Aksesoris ID Card,1.0,2.0,50.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. BEKASI,JAWA BARAT,0.0,8000.0,10000.0,8000.0,2024,1,2024-01,Belanja,False,10000.0
ORD_0006557,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 00:07:00,False,Selesai,,Celengan,1.0,2.0,1000.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BANDUNG,JAWA BARAT,0.0,10000.0,35663.0,10000.0,2024,1,2024-01,Belanja,False,35663.0
ORD_0006558,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 00:07:00,False,Selesai,,Plastik / Wadah Plastik,1.0,1.0,600.0,0.0,0.0,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,KAB. BOGOR,JAWA BARAT,0.0,10000.0,23187.0,10000.0,2024,1,2024-01,Belanja,False,23187.0
ORD_0006559,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 00:12:00,False,Selesai,,Rak / Rak Serbaguna,1.0,1.0,700.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA DEPOK,JAWA BARAT,0.0,8000.0,37400.0,8000.0,2024,1,2024-01,Belanja,False,37400.0
ORD_0006560,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 00:36:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Online Payment,Hemat Kargo-SPX Hemat,KAB. BEKASI,JAWA BARAT,0.0,8000.0,21800.0,8000.0,2024,1,2024-01,Belanja,False,21800.0
ORD_0006561,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 01:12:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,SeaBank Bayar Instan,Reguler (Cashless)-SPX Standard,KAB. TANGERANG,BANTEN,0.0,9500.0,20001.0,9500.0,2024,1,2024-01,Belanja,False,20001.0
ORD_0006564,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 04:43:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA SERANG,BANTEN,0.0,7500.0,18576.0,7500.0,2024,1,2024-01,Belanja,False,18576.0
ORD_0006565,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 05:31:00,False,Selesai,,Keranjang,1.0,2.0,400.0,0.0,0.0,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,KAB. BEKASI,JAWA BARAT,0.0,9500.0,8800.0,9500.0,2024,1,2024-01,Belanja,False,8800.0
ORD_0006566,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 07:10:00,False,Selesai,,"Mangkok Sambal / Saus, Peralatan Makan",2.0,3.0,2400.0,0.0,0.0,SPayLater,Hemat Kargo-SPX Hemat,KAB. BOGOR,JAWA BARAT,0.0,8000.0,38845.0,8000.0,2024,1,2024-01,Belanja,False,38845.0
ORD_0006567,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 09:43:00,False,Selesai,,Keranjang,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BEKASI,JAWA BARAT,0.0,8000.0,5000.0,8000.0,2024,1,2024-01,Belanja,False,5000.0
ORD_0006568,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 10:37:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Online Payment,Hemat Kargo-SPX Hemat,KAB. BEKASI,JAWA BARAT,0.0,8000.0,21800.0,8000.0,2024,1,2024-01,Belanja,False,21800.0
ORD_0006569,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 11:15:00,False,Selesai,,Rak / Rak Serbaguna,1.0,1.0,1700.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. BANJARNEGARA,JAWA TENGAH,9000.0,20000.0,77960.0,29000.0,2024,1,2024-01,Belanja,False,77960.0
ORD_0006570,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 11:22:00,False,Selesai,,Botol / Gelas / Mug,1.0,1.0,400.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. TANGERANG,BANTEN,0.0,8000.0,9320.0,8000.0,2024,1,2024-01,Belanja,False,9320.0
ORD_0006571,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 11:36:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,KAB. SIDOARJO,JAWA TIMUR,4500.0,10000.0,21280.0,14500.0,2024,1,2024-01,Belanja,False,21280.0
ORD_0006572,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 11:40:00,False,Selesai,,Celengan,1.0,2.0,1000.0,0.0,0.0,COD (Bayar di Tempat),Agen SPX Express,KAB. LABUHAN BATU,SUMATERA UTARA,5000.0,20000.0,47384.0,25000.0,2024,1,2024-01,Belanja,False,47384.0
ORD_0006573,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 11:55:00,False,Selesai,,Keranjang,1.0,1.0,300.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. TANGERANG,BANTEN,0.0,8000.0,12000.0,8000.0,2024,1,2024-01,Belanja,False,12000.0
ORD_0006574,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 13:11:00,False,Selesai,,Celengan,1.0,2.0,1000.0,0.0,0.0,Saldo ShopeePay,Reguler (Cashless)-SPX Standard,KOTA BANDUNG,JAWA BARAT,0.0,13000.0,34205.0,13000.0,2024,1,2024-01,Belanja,False,34205.0
ORD_0006575,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 13:15:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,SeaBank Bayar Instan,Hemat Kargo-SPX Hemat,KAB. BANDUNG,JAWA BARAT,0.0,9000.0,17900.0,9000.0,2024,1,2024-01,Belanja,False,17900.0
ORD_0006576,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 13:17:00,False,Selesai,,Mangkok Sambal / Saus,1.0,2.0,400.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA TANGERANG,BANTEN,0.0,8000.0,31000.0,8000.0,2024,1,2024-01,Belanja,False,31000.0
ORD_0006577,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 13:27:00,False,Selesai,,Mangkok Sambal / Saus,1.0,2.0,400.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BOGOR,JAWA BARAT,0.0,8000.0,32200.0,8000.0,2024,1,2024-01,Belanja,False,32200.0
ORD_0006579,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 14:22:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. TANGERANG,BANTEN,0.0,8000.0,20800.0,8000.0,2024,1,2024-01,Belanja,False,20800.0
ORD_0006580,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 14:36:00,False,Selesai,,"Celengan, Plastik / Wadah Plastik, Teko / Jug",3.0,3.0,2400.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. BANDUNG BARAT,JAWA BARAT,0.0,9000.0,26862.0,9000.0,2024,1,2024-01,Belanja,False,26862.0
ORD_0006581,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 15:21:00,False,Selesai,,Celengan,1.0,3.0,4500.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. BANDUNG,JAWA BARAT,3000.0,20000.0,66800.0,23000.0,2024,1,2024-01,Belanja,False,66800.0
ORD_0006582,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 15:22:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. SUKABUMI,JAWA BARAT,2000.0,10000.0,22800.0,12000.0,2024,1,2024-01,Belanja,False,22800.0
ORD_0006583,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 15:24:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. GARUT,JAWA BARAT,6500.0,10000.0,20942.0,16500.0,2024,1,2024-01,Belanja,False,20942.0
ORD_0006585,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 15:51:00,False,Selesai,,Celengan,1.0,2.0,2000.0,0.0,0.0,Saldo ShopeePay,Same Day-GoSend Same Day,KOTA TANGERANG SELATAN,BANTEN,17500.0,0.0,52500.0,17500.0,2024,1,2024-01,Belanja,False,52500.0
ORD_0006587,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 16:21:00,False,Selesai,,"Botol / Gelas / Mug, Cobek / Ulekan, Mangkok Sambal / Saus, Other, Peralatan Makan, Plastik / Wadah Plastik, Tempat Nasi",7.0,13.0,152000.0,0.0,0.0,SPayLater,Instant (Versi Lama)-SPX Instant (Versi Lama),KOTA JAKARTA BARAT,DKI JAKARTA,33000.0,20000.0,590436.0,53000.0,2024,1,2024-01,Belanja,True,88620.0
ORD_0006586,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 16:21:00,False,Selesai,,Seal / Baut / Roof,1.0,2.0,600.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA DEPOK,JAWA BARAT,0.0,8000.0,37400.0,8000.0,2024,1,2024-01,Belanja,False,37400.0
ORD_0006588,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 16:38:00,False,Selesai,,Nampan / Tray,1.0,2.0,1000.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BENGKULU,BENGKULU,0.0,22000.0,115400.0,22000.0,2024,1,2024-01,Belanja,True,88620.0
ORD_0006589,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 16:41:00,False,Selesai,,Peralatan Kamar Mandi,1.0,1.0,300.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. TASIKMALAYA,JAWA BARAT,5500.0,10000.0,23500.0,15500.0,2024,1,2024-01,Belanja,False,23500.0
ORD_0006590,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 16:50:00,False,Selesai,,Saringan / Strainer,1.0,1.0,600.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA PEKANBARU,RIAU,0.0,21000.0,84000.0,21000.0,2024,1,2024-01,Belanja,False,84000.0
ORD_0006592,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 17:00:00,False,Selesai,,Celengan,1.0,2.0,2000.0,0.0,0.0,Kartu Kredit/Debit,Hemat Kargo-SPX Hemat,KAB. TANGERANG,BANTEN,0.0,8000.0,44000.0,8000.0,2024,1,2024-01,Belanja,False,44000.0
ORD_0006593,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 17:09:00,False,Selesai,,Rak / Rak Serbaguna,1.0,1.0,1700.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BEKASI,JAWA BARAT,0.0,16000.0,68600.0,16000.0,2024,1,2024-01,Belanja,False,68600.0
ORD_0006594,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 17:39:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA TANGERANG SELATAN,BANTEN,0.0,8000.0,21592.0,8000.0,2024,1,2024-01,Belanja,False,21592.0
ORD_0006595,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 18:41:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,KAB. BOGOR,JAWA BARAT,0.0,9500.0,18106.0,9500.0,2024,1,2024-01,Belanja,False,18106.0
ORD_0006596,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 18:57:00,False,Selesai,,Celengan,1.0,2.0,1000.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. TANGERANG,BANTEN,0.0,8000.0,36152.0,8000.0,2024,1,2024-01,Belanja,False,36152.0
ORD_0006598,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 19:14:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA SUKABUMI,JAWA BARAT,0.0,7500.0,18576.0,7500.0,2024,1,2024-01,Belanja,False,18576.0
ORD_0006599,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 19:24:00,False,Selesai,,Celengan,1.0,2.0,1000.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA SUKABUMI,JAWA BARAT,0.0,8000.0,36152.0,8000.0,2024,1,2024-01,Belanja,False,36152.0
ORD_0006601,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 20:09:00,False,Selesai,,Celengan,1.0,3.0,4500.0,0.0,0.0,SeaBank Bayar Instan,Hemat Kargo-SPX Hemat,KOTA BEKASI,JAWA BARAT,0.0,16000.0,63800.0,16000.0,2024,1,2024-01,Belanja,False,63800.0
ORD_0006602,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 20:23:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Saldo ShopeePay,Reguler (Cashless)-SPX Standard,KOTA JAKARTA BARAT,DKI JAKARTA,0.0,10000.0,17197.0,10000.0,2024,1,2024-01,Belanja,False,17197.0
ORD_0006603,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 20:49:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. BANDUNG,JAWA BARAT,2000.0,10000.0,20656.0,12000.0,2024,1,2024-01,Belanja,False,20656.0
ORD_0006604,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 21:15:00,False,Selesai,,Celengan,1.0,2.0,2000.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA BEKASI,JAWA BARAT,0.0,8000.0,31235.0,8000.0,2024,1,2024-01,Belanja,False,31235.0
ORD_0006605,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 21:50:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA TANGERANG,BANTEN,0.0,8000.0,21592.0,8000.0,2024,1,2024-01,Belanja,False,21592.0
ORD_0006606,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 21:52:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,KAB. KARAWANG,JAWA BARAT,1000.0,10000.0,18500.0,11000.0,2024,1,2024-01,Belanja,False,18500.0
ORD_0006607,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 22:12:00,False,Selesai,,Celengan,1.0,2.0,2000.0,0.0,0.0,SPayLater,Hemat Kargo-SPX Hemat,KAB. BANDUNG,JAWA BARAT,0.0,10000.0,37388.0,10000.0,2024,1,2024-01,Belanja,False,37388.0
ORD_0006608,ecommerce_2024_01_january,January 2024,2024-01,2024-01-01 22:16:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA JAKARTA PUSAT,DKI JAKARTA,0.0,9000.0,17900.0,9000.0,2024,1,2024-01,Belanja,False,17900.0
ORD_0006609,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 00:46:00,False,Selesai,,Nampan / Tray,1.0,121.0,24200.0,0.0,181500.0,SeaBank Bayar Instan,Kargo-J&T Cargo,KOTA PALEMBANG,SUMATERA SELATAN,99301.0,20000.0,705301.0,119301.0,2024,1,2024-01,Belanja,True,88620.0
ORD_0006610,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 08:28:00,False,Selesai,,"Mangkok Sambal / Saus, Other, Plastik / Wadah Plastik",3.0,7.0,3900.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. PANDEGLANG,BANTEN,0.0,13000.0,86900.0,13000.0,2024,1,2024-01,Belanja,False,86900.0
ORD_0006611,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 08:37:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,SeaBank Bayar Instan,Hemat Kargo-SPX Hemat,KAB. BOGOR,JAWA BARAT,8000.0,0.0,26500.0,8000.0,2024,1,2024-01,Belanja,False,26500.0
ORD_0006613,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 09:47:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BUKITTINGGI,SUMATERA BARAT,38500.0,0.0,56640.0,38500.0,2024,1,2024-01,Belanja,False,56640.0
ORD_0006614,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 10:25:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Online Payment,Hemat Kargo-SPX Hemat,KOTA DEPOK,JAWA BARAT,8000.0,0.0,29800.0,8000.0,2024,1,2024-01,Belanja,False,29800.0
ORD_0006615,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 12:59:00,False,Selesai,,Celengan,1.0,2.0,1000.0,0.0,0.0,Alfamart/Alfamidi/Dan+Dan,Hemat Kargo-SPX Hemat,KAB. CIREBON,JAWA BARAT,12500.0,0.0,55600.0,12500.0,2024,1,2024-01,Belanja,False,55600.0
ORD_0006617,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 16:06:00,False,Selesai,,Rak / Rak Serbaguna,1.0,1.0,700.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. TEBO,JAMBI,3500.0,40000.0,26500.0,43500.0,2024,1,2024-01,Belanja,False,26500.0
ORD_0006618,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 18:20:00,False,Selesai,,Peralatan Kamar Mandi,1.0,1.0,300.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KAB. SLEMAN,DI YOGYAKARTA,16000.0,0.0,33306.0,16000.0,2024,1,2024-01,Belanja,False,33306.0
ORD_0006619,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 18:35:00,False,Selesai,,Mangkok Sambal / Saus,1.0,2.0,400.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. MUSI BANYUASIN,SUMATERA SELATAN,46000.0,0.0,80040.0,46000.0,2024,1,2024-01,Belanja,False,80040.0
ORD_0006620,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 21:09:00,False,Selesai,,Peralatan Makan,1.0,1.0,350.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. BEKASI,JAWA BARAT,8000.0,0.0,25960.0,8000.0,2024,1,2024-01,Belanja,False,25960.0
ORD_0006621,ecommerce_2024_01_january,January 2024,2024-01,2024-01-02 22:12:00,False,Selesai,,Other,1.0,1.0,7000.0,0.0,0.0,Online Payment,Instant (Versi Lama)-SPX Instant (Versi Lama),KOTA TANGERANG,BANTEN,8000.0,20000.0,110000.0,28000.0,2024,1,2024-01,Belanja,True,88620.0
ORD_0006623,ecommerce_2024_01_january,January 2024,2024-01,2024-01-03 05:35:00,False,Selesai,,Mangkok Sambal / Saus,1.0,6.0,1200.0,0.0,0.0,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,KAB. PASURUAN,JAWA TIMUR,0.0,20000.0,94600.0,20000.0,2024,1,2024-01,Belanja,True,88620.0
ORD_0006624,ecommerce_2024_01_january,January 2024,2024-01,2024-01-03 06:05:00,False,Selesai,,Mangkok Sambal / Saus,1.0,2.0,800.0,0.0,0.0,SPayLater,Hemat Kargo-SPX Hemat,KAB. BEKASI,JAWA BARAT,8000.0,0.0,39380.0,8000.0,2024,1,2024-01,Belanja,False,39380.0
ORD_0006625,ecommerce_2024_01_january,January 2024,2024-01,2024-01-03 11:16:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Online Payment,Hemat Kargo-SPX Hemat,KOTA TANGERANG SELATAN,BANTEN,8000.0,0.0,28000.0,8000.0,2024,1,2024-01,Belanja,False,28000.0
ORD_0006626,ecommerce_2024_01_january,January 2024,2024-01,2024-01-03 11:23:00,False,Selesai,,Celengan,1.0,2.0,2000.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA JAKARTA BARAT,DKI JAKARTA,8000.0,0.0,45800.0,8000.0,2024,1,2024-01,Belanja,False,45800.0
ORD_0006627,ecommerce_2024_01_january,January 2024,2024-01,2024-01-03 12:12:00,False,Selesai,,"Mangkok Sambal / Saus, Peralatan Makan",2.0,7.0,2560.0,0.0,0.0,Saldo ShopeePay,Hemat Kargo-SPX Hemat,KOTA BALIKPAPAN,KALIMANTAN TIMUR,14500.0,20000.0,109500.0,34500.0,2024,1,2024-01,Belanja,True,88620.0
