dataset_id,dataset_name,domain,source_file,dataset_period,date,amount,amount_original,category,description,transaction_type,status,payment_method,city,province,quantity,order_id,date_source,amount_cap_p99,month,year
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 03:22:00,242000.0,242000.0,other,ORD_0010173,Selesai,Selesai,Kartu Kredit/Debit,KOTA MEDAN,SUMATERA UTARA,4,ORD_0010173,source_column,538000.0,2024-06,2024
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 06:05:00,72082.0,72082.0,celengan,ORD_0010174,Selesai,Selesai,Online Payment,KOTA BEKASI,JAWA BARAT,3,ORD_0010174,source_column,538000.0,2024-06,2024
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 06:26:00,18069.0,18069.0,celengan,ORD_0010175,Selesai,Selesai,SPayLater,KOTA JAKARTA TIMUR,DKI JAKARTA,1,ORD_0010175,source_column,538000.0,2024-06,2024
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 06:35:00,0.0,0.0,celengan,ORD_0010176,Batal,Batal,Online Payment,KAB. TANGERANG,BANTEN,1,ORD_0010176,source_column,538000.0,2024-06,2024
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 07:08:00,21800.0,21800.0,celengan,ORD_0010177,Selesai,Selesai,Saldo ShopeePay,KAB. TANGERANG,BANTEN,1,ORD_0010177,source_column,538000.0,2024-06,2024
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 07:52:00,42900.0,42900.0,celengan,ORD_0010178,Selesai,Selesai,Saldo ShopeePay,KAB. GARUT,JAWA BARAT,2,ORD_0010178,source_column,538000.0,2024-06,2024
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 08:19:00,10500.0,10500.0,botol_gelas_mug,ORD_0010179,Selesai,Selesai,Saldo ShopeePay,KOTA JAKARTA PUSAT,DKI JAKARTA,1,ORD_0010179,source_column,538000.0,2024-06,2024
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 09:31:00,64240.0,64240.0,celengan,ORD_0010180,Selesai,Selesai,Saldo ShopeePay,KAB. BOGOR,JAWA BARAT,3,ORD_0010180,source_column,538000.0,2024-06,2024
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 09:44:00,10000.0,10000.0,celengan,ORD_0010181,Selesai,Selesai,SeaBank Bayar Instan,KOTA JAKARTA SELATAN,DKI JAKARTA,1,ORD_0010181,source_column,538000.0,2024-06,2024
ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,02_JuneSales2024_clean.xlsx,2024-06,2024-06-01 09:56:00,18576.0,18576.0,celengan,ORD_0010182,Selesai,Selesai,COD (Bayar di Tempat),KOTA DEPOK,JAWA BARAT,1,ORD_0010182,source_column,538000.0,2024-06,2024
