dataset_id,dataset_name,domain,source_file,dataset_period,date,amount,amount_original,category,description,transaction_type,status,payment_method,city,province,quantity,order_id,date_source,amount_cap_p99,month,year
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,0.0,0.0,celengan,ORD_0009407,Batal,Batal,Saldo ShopeePay,KOTA TANGERANG,BANTEN,2,ORD_0009407,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,16369.0,16369.0,celengan,ORD_0009408,Selesai,Selesai,Saldo ShopeePay,KOTA TANGERANG,BANTEN,2,ORD_0009408,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,0.0,0.0,lunch_box_rantang,ORD_0009409,Batal,Batal,Saldo ShopeePay,KAB. SUKABUMI,JAWA BARAT,22,ORD_0009409,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,47500.0,47500.0,nampan_tray,ORD_0009410,Selesai,Selesai,COD (Bayar di Tempat),KAB. WAJO,SULAWESI SELATAN,6,ORD_0009410,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,38000.0,38000.0,perkakas,ORD_0009411,Selesai,Selesai,COD (Bayar di Tempat),KAB. BREBES,JAWA TENGAH,1,ORD_0009411,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,732355.9999999986,1299900.0,seal_baut_roof,ORD_0009412,Selesai,Selesai,Saldo ShopeePay,KAB. TANGERANG,BANTEN,1,ORD_0009412,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,26000.0,26000.0,baskom_mangkok_besar,ORD_0009413,Selesai,Selesai,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,2,ORD_0009413,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,116300.0,116300.0,seal_baut_roof,ORD_0009414,Selesai,Selesai,Online Payment,KAB. BANYUWANGI,JAWA TIMUR,10,ORD_0009414,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,17500.0,17500.0,mangkok_sambal_saus,ORD_0009415,Selesai,Selesai,COD (Bayar di Tempat),KOTA BANDAR LAMPUNG,LAMPUNG,1,ORD_0009415,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,8000.0,8000.0,aksesoris_pintu,ORD_0009416,Selesai,Selesai,COD (Bayar di Tempat),KAB. MOJOKERTO,JAWA TIMUR,1,ORD_0009416,dataset_period_from_filename,732355.9999999986,2025-07,2025
ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,05_JulySales2025_clean.xlsx,2025-07,2025-07-01,0.0,0.0,keranjang,ORD_0009417,Batal,Batal,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,5,ORD_0009417,dataset_period_from_filename,732355.9999999986,2025-07,2025
