dataset_id,dataset_name,domain,source_file,dataset_period,date,amount,amount_original,category,description,transaction_type,status,payment_method,city,province,quantity,order_id,date_source,amount_cap_p99,month,year
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 06:08:00,18900.0,18900.0,celengan,ORD_0015042,Selesai,Selesai,SPayLater,KOTA PALEMBANG,SUMATERA SELATAN,1,ORD_0015042,source_column,405037.89999999973,2025-11,2025
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 06:16:00,31990.0,31990.0,mangkok_sambal_saus,ORD_0015043,Selesai,Selesai,COD (Bayar di Tempat),KOTA MEDAN,SUMATERA UTARA,2,ORD_0015043,source_column,405037.89999999973,2025-11,2025
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 06:41:00,126900.0,126900.0,nampan_tray,ORD_0015044,Selesai,Selesai,Saldo ShopeePay,KAB. WAY KANAN,LAMPUNG,1,ORD_0015044,source_column,405037.89999999973,2025-11,2025
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 06:57:00,17654.0,17654.0,celengan,ORD_0015045,Selesai,Selesai,SPayLater,KOTA JAKARTA UTARA,DKI JAKARTA,1,ORD_0015045,source_column,405037.89999999973,2025-11,2025
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 07:28:00,18800.0,18800.0,celengan,ORD_0015046,Selesai,Selesai,Saldo ShopeePay,KAB. TULUNGAGUNG,JAWA TIMUR,1,ORD_0015046,source_column,405037.89999999973,2025-11,2025
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 09:35:00,52900.0,52900.0,celengan,ORD_0015047,Selesai,Selesai,SPayLater,KOTA TANGERANG SELATAN,BANTEN,4,ORD_0015047,source_column,405037.89999999973,2025-11,2025
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 09:41:00,35500.0,35500.0,nampan_tray,ORD_0015048,Selesai,Selesai,COD (Bayar di Tempat),KAB. KARAWANG,JAWA BARAT,3,ORD_0015048,source_column,405037.89999999973,2025-11,2025
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 09:58:00,23000.0,23000.0,aksesoris_pintu,ORD_0015049,Selesai,Selesai,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,2,ORD_0015049,source_column,405037.89999999973,2025-11,2025
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 10:05:00,17499.0,17499.0,mangkok_sambal_saus,ORD_0015050,Selesai,Selesai,COD (Bayar di Tempat),KAB. SUKOHARJO,JAWA TENGAH,1,ORD_0015050,source_column,405037.89999999973,2025-11,2025
ecommerce_2025_11_november,E-Commerce Sales - November 2025,ecommerce_sales,06_NovemberSales2025_clean.xlsx,2025-11,2025-11-01 10:07:00,15900.0,15900.0,celengan,ORD_0015051,Selesai,Selesai,COD (Bayar di Tempat),KOTA SURABAYA,JAWA TIMUR,1,ORD_0015051,source_column,405037.89999999973,2025-11,2025
