order_id,total_qty,total_weight_gr,total_returned_qty,Total Diskon,product_categories,num_product_categories,Status Pesanan,Alasan Pembatalan,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Waktu Pesanan Dibuat,_dataset_id,_dataset_name,_domain,_dataset_period,_source_file,_source_path
ORD_0010173,4,4000,0,0,Other,1,Selesai,,Kargo-J&T Cargo,Kartu Kredit/Debit,KOTA MEDAN,SUMATERA UTARA,25000,20000,242000,45000,2024-06-01 03:22,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010174,3,1500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-JNE Reguler,Online Payment,KOTA BEKASI,JAWA BARAT,10000,10000,72082,20000,2024-06-01 06:05,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010175,1,500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-JNE Reguler,SPayLater,KOTA JAKARTA TIMUR,DKI JAKARTA,0,10000,18069,10000,2024-06-01 06:26,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010176,1,500,0,0,Celengan,1,Batal,Dibatalkan oleh Pembeli. Alasan: Perlu mengubah pesanan,Hemat Kargo,Online Payment,KAB. TANGERANG,BANTEN,0,0,0,8000,2024-06-01 06:35,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010177,1,500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-JNE Reguler,Saldo ShopeePay,KAB. TANGERANG,BANTEN,0,9500,21800,9500,2024-06-01 07:08,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010178,2,2000,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. GARUT,JAWA BARAT,7000,10000,42900,17000,2024-06-01 07:52,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010179,1,400,0,0,Botol / Gelas / Mug,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA PUSAT,DKI JAKARTA,0,9000,10500,9000,2024-06-01 08:19,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010180,3,4500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. BOGOR,JAWA BARAT,6000,10000,64240,16000,2024-06-01 09:31,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010181,1,500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-SPX Standard,SeaBank Bayar Instan,KOTA JAKARTA SELATAN,DKI JAKARTA,0,10000,10000,10000,2024-06-01 09:44,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010182,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA DEPOK,JAWA BARAT,0,8000,18576,8000,2024-06-01 09:56,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010183,15,3750,0,0,Lunch Box / Rantang,1,Batal,Dibatalkan secara otomatis oleh sistem. Alasan: Pengiriman gagal,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SUKABUMI,JAWA BARAT,0,0,0,48000,2024-06-01 10:25,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010184,4,5200,0,0,"Keranjang, Rak / Rak Serbaguna",2,Selesai,,Hemat Kargo-SPX Hemat,SPayLater,KAB. SIDOARJO,JAWA TIMUR,23500,20000,119801,43500,2024-06-01 10:33,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010185,121,24200,0,181500,Nampan / Tray,1,Batal,Dibatalkan oleh Pembeli. Alasan: Need to change delivery address,Kargo-J&T Cargo,SeaBank Bayar Instan,KOTA PALEMBANG,SUMATERA SELATAN,0,0,0,119301,2024-06-01 10:41,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010186,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. DHARMASRAYA,SUMATERA BARAT,0,35400,18576,35400,2024-06-01 11:24,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010187,2,400,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,0,8000,33240,8000,2024-06-01 12:10,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010188,10,2500,0,0,Lunch Box / Rantang,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SUKABUMI,JAWA BARAT,36000,0,178840,36000,2024-06-01 12:39,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010189,3,1500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,6000,10000,59968,16000,2024-06-01 13:41,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010190,1,1200,0,0,Lunch Box / Rantang,1,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. OGAN KOMERING ULU,SUMATERA SELATAN,0,0,0,34500,2024-06-01 14:13,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010191,1,80,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SERANG,BANTEN,3000,10000,9840,13000,2024-06-01 14:41,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010192,1,500,0,0,Celengan,1,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BANDUNG BARAT,JAWA BARAT,0,0,0,9000,2024-06-01 14:47,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010193,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. OGAN ILIR,SUMATERA SELATAN,0,34300,17576,34300,2024-06-01 15:36,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010194,1,1000,0,0,Tempat Nasi,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA CIREBON,JAWA BARAT,0,8500,17000,8500,2024-06-01 16:15,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010195,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA TIMUR,DKI JAKARTA,0,8000,19270,8000,2024-06-01 18:51,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010196,2,400,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,0,8000,33240,8000,2024-06-01 19:05,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010197,2,2000,0,0,Celengan,1,Selesai,,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KAB. BANDUNG,JAWA BARAT,4000,10000,39900,14000,2024-06-01 19:11,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010198,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BEKASI,JAWA BARAT,0,8000,18576,8000,2024-06-01 19:30,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010199,1,200,0,0,Mangkok Sambal / Saus,1,Selesai,,Reguler (Cashless)-SPX Standard,Online Payment,KOTA SURABAYA,JAWA TIMUR,20000,0,35965,20000,2024-06-01 19:53,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010200,1,500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA JAKARTA TIMUR,DKI JAKARTA,0,10000,21592,10000,2024-06-01 22:00,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
ORD_0010201,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG,BANTEN,0,8000,18576,8000,2024-06-01 22:45,ecommerce_2024_06_june,E-Commerce Sales - June 2024,ecommerce_sales,2024-06,02_JuneSales2024_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/02_JuneSales2024_clean.xlsx
