order_id,total_qty,total_weight_gr,total_returned_qty,Total Diskon,product_categories,num_product_categories,Status Pesanan,Alasan Pembatalan,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Waktu Pesanan Dibuat,_dataset_id,_dataset_name,_domain,_dataset_period,_source_file,_source_path
ORD_0005599,1,1000,0,0,Lunch Box / Rantang,1,Selesai,,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA PONTIANAK,KALIMANTAN BARAT,7000,30000,73525,37000,2025-02-01 00:40,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
ORD_0005600,2,200,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA JAKARTA TIMUR,DKI JAKARTA,0,8000,19900,8000,2025-02-01 05:00,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
ORD_0005601,1,100,0,0,Saringan / Strainer,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,0,8000,16600,8000,2025-02-01 05:31,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
ORD_0005602,3,630,0,0,Aksesoris Pintu,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. BANDUNG BARAT,JAWA BARAT,0,17000,20240,17000,2025-02-01 05:50,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
ORD_0005603,2,160,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. JEPARA,JAWA TENGAH,0,16000,12440,16000,2025-02-01 07:15,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
ORD_0005604,1,100,0,0,Aksesoris Pintu,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,0,9500,10360,9500,2025-02-01 07:30,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
ORD_0005605,2,200,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,SPayLater,KOTA BOGOR,JAWA BARAT,3000,5000,22210,8000,2025-02-01 08:56,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
ORD_0005606,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,0,8000,18576,8000,2025-02-01 10:17,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
ORD_0005607,2,1000,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,SPayLater,KOTA JAKARTA TIMUR,DKI JAKARTA,0,8000,39408,8000,2025-02-01 10:38,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
ORD_0005608,1,500,0,0,Celengan,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. PANDEGLANG,BANTEN,0,16000,21592,16000,2025-02-01 11:16,ecommerce_2025_02_february,E-Commerce Sales - February 2025,ecommerce_sales,2025-02,04_FebruarySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/04_FebruarySales2025_clean.xlsx
