order_id,total_qty,total_weight_gr,total_returned_qty,Total Diskon,product_categories,num_product_categories,Status Pesanan,Alasan Pembatalan,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,_dataset_id,_dataset_name,_domain,_dataset_period,_source_file,_source_path
ORD_0009407,2,2000,0,0,Celengan,1,Batal,Dibatalkan oleh Pembeli. Alasan: Need to change delivery address,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA TANGERANG,BANTEN,0,0,0,10000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009408,2,2000,1,0,Celengan,1,Selesai,,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA TANGERANG,BANTEN,0,10000,16369,10000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009409,22,11000,0,0,Lunch Box / Rantang,1,Batal,Dibatalkan secara otomatis oleh sistem. Alasan: Penjual gagal mengirimkan pesanan tepat waktu,Hemat Kargo-J&T Cargo,Saldo ShopeePay,KAB. SUKABUMI,JAWA BARAT,0,0,0,32000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009410,6,1200,0,0,Nampan / Tray,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. WAJO,SULAWESI SELATAN,6500,25000,47500,31500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009411,1,300,0,0,Perkakas,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BREBES,JAWA TENGAH,0,3500,38000,3500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009412,1,12000,0,0,Seal / Baut / Roof,1,Selesai,,Hemat Kargo-J&T Cargo,Saldo ShopeePay,KAB. TANGERANG,BANTEN,10000,30000,1299900,40000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009413,2,1000,0,0,Baskom / Mangkok Besar,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA TANGERANG SELATAN,BANTEN,0,6500,26000,6500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009414,10,2000,0,0,Seal / Baut / Roof,1,Selesai,,SPX Standard,Online Payment,KAB. BANYUWANGI,JAWA TIMUR,3800,20000,116300,23800,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009415,1,200,0,0,Mangkok Sambal / Saus,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA BANDAR LAMPUNG,LAMPUNG,0,19000,17500,19000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009416,1,100,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. MOJOKERTO,JAWA TIMUR,0,3500,8000,3500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009417,5,1000,0,0,Keranjang,1,Batal,Dibatalkan secara otomatis oleh sistem. Alasan: Pengiriman gagal,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,0,0,0,6500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009418,1,400,0,0,Keranjang,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA TANGERANG,BANTEN,0,6500,14000,6500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009419,1,1000,0,0,Bangku / Kursi Kecil,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. MALANG,JAWA TIMUR,0,6500,21000,6500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009420,1,100,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TEGAL,JAWA TENGAH,0,3500,11500,3500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009421,1,80,0,0,Aksesoris Pintu,1,Selesai,,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA TANGERANG,BANTEN,0,6500,6900,6500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009422,2,600,0,0,Tempat Nasi,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TANGERANG,BANTEN,0,3500,15000,3500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009423,2,800,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,Online Payment,KAB. KLATEN,JAWA TENGAH,0,3500,32500,3500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009424,5,1000,0,0,Mangkok Sambal / Saus,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. MAJALENGKA,JAWA BARAT,0,3500,79500,3500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009425,10,2500,0,0,Lunch Box / Rantang,1,Batal,Dibatalkan oleh Penjual. Alasan: Produk habis,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KAB. SUKABUMI,JAWA BARAT,0,0,0,12000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009426,1,500,0,0,Celengan,1,Selesai,,Hemat Kargo-SPX Hemat,Online Payment,KOTA BANDUNG,JAWA BARAT,3500,0,26670,3500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009427,6,1200,0,0,Mangkok Sambal / Saus,1,Batal,Dibatalkan oleh Pembeli. Alasan: Perlu mengubah alamat pengiriman,Hemat Kargo,SPayLater,KAB. BONE,SULAWESI SELATAN,0,0,0,32400,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009428,1,100,0,0,Peralatan Kamar Mandi,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. CIREBON,JAWA BARAT,0,3500,12000,3500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009429,1,3300,0,0,Rak / Rak Serbaguna,1,Batal,Dibatalkan secara otomatis oleh sistem. Alasan: Paket hilang di perjalanan. Kompensasi yang memenuhi syarat telah dikreditkan ke Saldo Penjual-mu.,Reguler (Cashless)-SPX Standard,Online Payment,KAB. SITUBONDO,JAWA TIMUR,0,0,0,12000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009430,1,100,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TASIKMALAYA,JAWA BARAT,0,3500,11500,3500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009431,1,500,0,0,Celengan,1,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,Reguler (Cashless)-SPX Standard,Online Payment,KOTA BOGOR,JAWA BARAT,0,0,0,9500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009432,3,360,0,0,Aksesoris Pintu,1,Selesai,,Reguler (Cashless)-SPX Standard,SeaBank Bayar Instan,KAB. KARAWANG,JAWA BARAT,0,11000,15000,11000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009433,1,1000,0,0,Bangku / Kursi Kecil,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. TANGERANG,BANTEN,0,10000,18885,10000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009434,1,1000,0,0,Perlengkapan Packing,1,Selesai,,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. GARUT,JAWA BARAT,0,16000,45000,16000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009435,2,260,0,0,Aksesoris Pintu,1,Selesai,,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. BEKASI,JAWA BARAT,0,8000,14619,8000,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
ORD_0009436,1,200,0,0,Mangkok Sambal / Saus,1,Selesai,,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KOTA TANGERANG,BANTEN,0,9500,17500,9500,ecommerce_2025_07_july,E-Commerce Sales - July 2025,ecommerce_sales,2025-07,05_JulySales2025_clean.xlsx,data/raw/Indonesian_Ecommerce_sales/05_JulySales2025_clean.xlsx
